Column1,Column2,Column3,Column4
,,,
Toronto Blue Jays,4,@ Oakland Athletics,5
,,,
Milwaukee Brewers,3,Philadelphia Phillies,4
,,,
Pittsburgh Pirates,0,San Diego Padres,2
,,,
Baltimore Orioles,5,Seattle Mariners,3
,,,
New York Mets,5,St. Louis Cardinals,6
,,,
» 2021-05-03 Standings & Scores,,,
,,,
"Tuesday, May 4, 2021",,,
,,,
Tampa Bay Rays,8,Los Angeles Angels,3
,,,
Detroit Tigers,7,Boston Red Sox,11
,,,
Los Angeles Dodgers,1,Chicago Cubs,7
,,,
Los Angeles Dodgers,3,Chicago Cubs,4
,,,
Chicago White Sox,9,Cincinnati Reds,0
,,,
San Francisco Giants,12,Colorado Rockies,4
,,,
San Francisco Giants,6,Colorado Rockies,8
,,,
Cleveland Indians,7,Kansas City Royals,3
,,,
Arizona Diamondbacks,3,Miami Marlins,9
,,,
Texas Rangers,6,Minnesota Twins,3
,,,
Houston Astros,3,New York Yankees,7
,,,
Toronto Blue Jays,1,@ Oakland Athletics,4
,,,
Milwaukee Brewers,5,Philadelphia Phillies,6
,,,
Pittsburgh Pirates,2,San Diego Padres,1
,,,
Baltimore Orioles,2,Seattle Mariners,5
,,,
Atlanta Braves,6,Washington Nationals,1
,,,
» 2021-05-04 Standings & Scores,,,
,,,
"Wednesday, May 5, 2021",,,
,,,
Tampa Bay Rays,3,Los Angeles Angels,1
,,,
Detroit Tigers,6,Boston Red Sox,5
,,,
Los Angeles Dodgers,5,Chicago Cubs,6
,,,
Chicago White Sox,0,Cincinnati Reds,1
,,,
San Francisco Giants,5,Colorado Rockies,6
,,,
Cleveland Indians,5,Kansas City Royals,4
,,,
Arizona Diamondbacks,0,Miami Marlins,8
,,,
Texas Rangers,3,Minnesota Twins,1
,,,
Houston Astros,3,New York Yankees,6
,,,
Toronto Blue Jays,9,@ Oakland Athletics,4
,,,
Milwaukee Brewers,4,Philadelphia Phillies,5
,,,
Pittsburgh Pirates,2,San Diego Padres,4
,,,
Baltimore Orioles,6,Seattle Mariners,0
,,,
New York Mets,1,St. Louis Cardinals,4
,,,
New York Mets,7,St. Louis Cardinals,2
,,,
Atlanta Braves,5,Washington Nationals,3
,,,
» 2021-05-05 Standings & Scores,,,
,,,
"Thursday, May 6, 2021",,,
,,,
Tampa Bay Rays,8,Los Angeles Angels,3
,,,
Detroit Tigers,9,Boston Red Sox,12
,,,
Cleveland Indians,4,Kansas City Royals,0
,,,
Arizona Diamondbacks,1,Miami Marlins,3
,,,
Texas Rangers,4,Minnesota Twins,3
,,,
Houston Astros,7,New York Yankees,4
,,,
Toronto Blue Jays,10,@ Oakland Athletics,4
,,,
Milwaukee Brewers,0,Philadelphia Phillies,2
