"Season","Team","G","PA","HR","R","RBI","SB","CS","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","wRAA","wRC","RE24","REW","WAR","-WPA","+WPA","BsR","Off","Def","Z-Contact%","Contact%","O-Swing%"
"2005","OAK","2164","6275","155","772","739","31","22","8.6%","13.1%",".145",".281",".262",".330",".407",".323","99","-14.2","738","38.15","3.69","23.0","-110.98","111.77","12.0","3.9","13.7","91.0%","85.1%","19.7%"
"2020","BAL","906","2242","77","274","264","19","14","7.3%","22.9%",".171",".309",".258",".321",".429",".323","104","5.9","287","-6.97","-0.64","4.4","-42.73","39.75","-4.1","6.7","-21.0","83.6%","75.6%","36.6%"
"2006","KCR","2272","6229","124","757","718","65","34","7.6%","16.7%",".140",".311",".271",".332",".411",".323","92","-45.7","736","-34.85","-3.32","18.3","-111.03","109.72","3.0","-64.6","37.7","89.6%","82.0%","24.7%"
"2015","NYY","2401","6268","212","764","737","63","25","8.8%","19.6%",".170",".283",".251",".323",".421",".323","103","49.0","754","63.29","6.59","20.7","-106.45","105.36","3.0","25.3","-35.3","87.8%","80.3%","28.2%"
"2001","FLA","2034","6184","166","742","713","89","40","7.6%","18.5%",".159",".303",".264",".326",".423",".323","95","-29.4","738","11.44","1.19","21.2","-109.38","108.39","0.1","-38.4","52.7","","",""
"2013","TEX","2321","6196","176","730","691","149","46","7.5%","17.2%",".150",".294",".262",".323",".412",".323","97","43.0","722","2.67","0.59","19.7","-112.33","110.34","2.0","-22.5","3.9","89.6%","82.0%","29.8%"
"2003","ARI","2319","6261","152","717","696","76","38","8.5%","16.1%",".153",".295",".263",".330",".417",".323","86","-31.5","736","-69.97","-6.96","7.7","-122.99","111.29","-10.8","-119.9","-6.9","88.1%","79.8%","22.4%"
"2010","KCR","2190","6209","121","676","640","115","50","7.6%","14.6%",".126",".305",".274",".331",".399",".323","98","8.0","721","-48.76","-5.13","9.9","-116.33","109.76","-28.4","-42.1","-81.2","91.5%","84.8%","28.2%"
"2014","BAL","2294","6130","211","705","681","44","20","6.5%","21.0%",".166",".296",".256",".311",".422",".323","104","58.4","717","24.93","2.65","27.4","-107.85","110.34","-6.2","21.9","34.4","86.1%","77.4%","33.1%"
"2017","OAK","2350","6126","234","739","708","57","22","9.2%","24.3%",".190",".294",".246",".319",".436",".323","103","8.9","756","5.74","0.79","17.5","-106.72","111.83","-5.5","19.9","-53.6","83.7%","75.6%","28.5%"
"2006","SEA","2259","6213","172","756","703","106","37","6.5%","15.7%",".153",".300",".272",".325",".424",".322","95","-48.7","731","-10.49","-1.00","19.7","-112.54","108.06","4.0","-37.6","26.5","88.2%","80.7%","26.0%"
"2021","LAD","2154","5482","198","712","684","54","13","9.9%","23.1%",".179",".283",".240",".327",".419",".322","105","36.5","698","114.90","12.10","24.8","-94.34","97.81","10.7","43.6","25.6","84.7%","76.5%","27.9%"
"2002","ATL","2319","6224","164","708","669","76","39","9.0%","16.5%",".150",".290",".260",".331",".409",".322","94","-23.2","724","-11.42","-1.17","20.5","-107.10","108.24","-7.9","-57.8","60.4","84.6%","78.6%","17.1%"
"2006","MIL","2206","6130","180","730","695","71","37","8.2%","20.1%",".162",".300",".258",".327",".420",".322","89","-54.2","715","-40.41","-3.97","15.9","-111.37","110.30","-1.5","-87.8","47.7","86.1%","77.3%","22.9%"
"2003","OAK","2197","6189","176","768","742","48","14","9.0%","14.5%",".162",".273",".254",".327",".417",".322","95","-28.9","730","-2.82","-0.71","12.7","-107.00","107.48","5.2","-35.5","-49.1","89.6%","82.1%","21.0%"
"2018","TBR","2371","6195","150","716","664","128","51","8.7%","22.4%",".148",".317",".258",".333",".406",".322","107","37.4","761","1.35","0.24","23.6","-109.72","107.04","-0.3","48.7","-23.7","84.8%","76.1%","31.7%"
"2013","STL","2341","6202","125","783","745","45","22","7.8%","17.9%",".133",".314",".269",".332",".401",".322","104","35.1","715","142.68","16.03","26.1","-93.36","102.39","-9.1","21.0","35.0","89.2%","81.7%","29.4%"
"2018","MIL","2496","6210","218","754","711","124","32","8.6%","23.5%",".172",".302",".252",".323",".424",".322","100","34.4","760","46.21","4.86","27.9","-106.41","113.80","8.2","7.7","68.3","84.9%","76.1%","32.0%"
"2008","HOU","2312","6051","167","712","684","114","52","7.4%","17.4%",".152",".296",".263",".323",".415",".322","93","-33.4","695","-11.52","-1.12","23.3","-102.96","107.26","0.4","-49.2","89.3","88.3%","80.1%","27.6%"
"2002","CIN","2353","6254","169","709","678","116","52","9.3%","19.0%",".155",".293",".253",".330",".408",".322","91","-27.4","724","-35.10","-3.31","16.6","-113.21","109.56","1.2","-73.9","36.4","82.1%","76.1%","18.7%"
"2001","LAD","2084","6169","206","758","714","89","42","8.4%","17.2%",".170",".279",".255",".323",".425",".322","97","-30.0","735","41.20","4.14","18.2","-108.59","113.41","-0.7","-23.8","9.0","","",""
"2021","TBR","2066","5423","195","761","716","73","34","9.4%","25.1%",".186",".295",".242",".320",".428",".322","108","36.2","691","141.31","14.23","24.9","-94.56","103.68","11.4","64.9","-0.9","81.7%","73.8%","30.6%"
"2008","TOR","2244","6191","126","714","681","80","27","8.4%","15.2%",".135",".295",".264",".331",".399",".322","94","-34.6","711","-37.97","-3.89","17.3","-116.36","108.82","-10.9","-60.7","19.1","90.4%","83.8%","23.4%"
"2015","LAD","2379","6090","187","667","638","59","34","9.2%","20.7%",".163",".292",".250",".326",".413",".322","106","37.5","722","21.15","2.28","29.0","-103.71","107.47","-15.3","28.2","57.3","85.9%","78.0%","29.1%"
"2007","PIT","2304","6214","148","724","694","68","30","7.5%","18.3%",".149",".303",".263",".325",".411",".322","90","-52.9","715","-42.32","-4.24","12.5","-110.45","101.85","-10.4","-94.0","16.8","88.0%","81.0%","24.0%"
"2011","CIN","2358","6329","183","735","697","97","50","8.5%","19.8%",".152",".297",".256",".326",".408",".322","99","24.2","735","50.35","5.43","29.4","-117.89","121.69","8.7","3.6","81.9","87.6%","79.6%","29.0%"
"2010","STL","2347","6241","150","736","689","79","41","8.7%","16.5%",".139",".296",".263",".332",".402",".322","99","2.8","720","48.25","5.12","25.0","-103.34","104.13","1.8","-6.8","59.6","88.9%","81.6%","28.7%"
"2017","NYM","2396","6169","224","735","713","58","23","8.6%","20.9%",".184",".286",".250",".320",".434",".322","101","1.4","753","24.36","2.61","22.7","-101.58","100.37","-11.3","-7.2","32.1","86.2%","78.5%","30.1%"
"2016","WSN","2302","6201","203","763","735","121","39","8.6%","20.2%",".170",".293",".256",".326",".426",".322","96","13.7","744","41.67","4.15","22.3","-105.70","110.20","16.0","-16.4","41.2","87.0%","79.5%","28.5%"
"2011","ARI","2230","6096","172","731","702","133","55","8.7%","20.5%",".163",".294",".250",".322",".413",".322","97","25.4","710","41.55","4.28","30.5","-106.23","111.50","9.0","-14.8","117.8","86.4%","78.0%","29.9%"
"2006","HOU","2393","6326","174","735","708","79","36","9.2%","17.0%",".154",".286",".255",".332",".409",".322","90","-60.1","734","-58.00","-5.52","19.7","-115.04","108.04","5.7","-82.5","74.7","88.1%","80.7%","21.9%"
"2012","CHW","2277","6111","211","748","726","109","43","7.5%","19.7%",".167",".289",".255",".318",".422",".322","98","31.1","728","16.03","1.64","20.7","-109.78","109.51","-7.0","-18.2","8.7","87.8%","79.9%","31.8%"
"2016","ARI","2399","6260","190","752","709","137","31","7.4%","22.8%",".171",".315",".261",".320",".432",".321","93","13.8","751","-16.78","-2.26","15.6","-115.66","113.59","17.7","-39.9","-2.0","86.2%","77.1%","30.2%"
"2008","LAD","2376","6194","137","700","659","126","43","8.8%","16.7%",".134",".301",".264",".333",".399",".321","93","-40.9","705","-32.54","-3.24","16.7","-110.07","106.64","5.1","-51.1","20.4","89.3%","81.8%","26.9%"
"2017","TEX","2268","6122","237","799","756","113","44","8.9%","24.4%",".186",".291",".244",".320",".430",".321","90","1.1","747","23.28","2.07","10.1","-99.84","99.13","6.3","-70.2","-37.6","84.1%","74.6%","31.2%"
"2001","SDP","2259","6278","161","789","753","129","44","10.8%","20.3%",".147",".297",".252",".336",".399",".321","97","-34.0","745","45.15","3.93","17.7","-106.01","110.49","6.4","-16.6","-7.1","","",""
"2017","MIL","2423","6135","224","732","695","128","41","8.9%","25.6%",".180",".308",".249",".322",".429",".321","94","-2.8","745","-25.60","-2.61","17.3","-108.75","107.18","2.4","-48.6","20.7","82.4%","74.4%","31.0%"
"2015","BOS","2268","6237","161","748","706","71","27","7.7%","18.4%",".149",".305",".265",".325",".415",".321","99","38.7","740","30.77","2.79","17.9","-105.16","102.52","1.4","-5.9","-28.9","88.4%","81.3%","30.6%"
"2000","TBD","1887","6206","162","733","692","90","46","9.0%","16.5%",".142",".287",".257",".329",".399",".321","83","-106.6","708","-81.13","-7.44","7.4","-117.95","110.58","-2.4","-141.8","-2.5","","",""
"2015","COL","2436","6071","186","737","702","97","43","6.4%","21.1%",".167",".313",".265",".315",".432",".321","87","34.6","717","-28.46","-3.58","9.7","-106.20","104.36","4.7","-91.9","-4.2","85.6%","77.9%","33.0%"
"2000","SDP","2169","6291","157","752","714","131","53","9.6%","18.7%",".148",".294",".254",".330",".402",".321","91","-112.0","714","-8.91","-0.81","15.3","-115.32","114.78","2.6","-77.5","30.9","","",""
"2017","SEA","2323","6166","200","750","714","89","35","7.9%","20.5%",".165",".300",".259",".325",".424",".321","103","-0.2","751","22.55","2.35","21.6","-106.21","108.64","-12.6","7.1","-0.8","86.1%","78.3%","28.6%"
"2003","CHC","2285","6187","172","724","691","73","31","8.0%","18.7%",".157",".297",".259",".323",".416",".321","91","-40.1","718","-24.59","-2.43","16.8","-105.83","101.30","-9.4","-83.7","50.9","86.0%","76.7%","22.1%"
"2017","DET","2336","6150","187","735","699","65","34","8.2%","21.3%",".166",".306",".258",".324",".424",".321","98","-0.2","749","-36.48","-3.63","14.2","-107.02","99.81","-19.8","-37.8","-29.4","85.8%","77.9%","30.6%"
"2014","LAA","2468","6284","155","773","729","81","39","7.8%","20.1%",".147",".305",".259",".322",".406",".321","110","50.9","726","130.66","14.41","30.4","-100.61","112.21","1.3","67.3","11.5","87.7%","79.2%","31.5%"
"2001","PHI","2083","6219","164","746","708","153","47","8.9%","18.1%",".154",".297",".260",".329",".414",".321","92","-36.8","735","27.49","2.87","22.9","-109.79","114.14","9.9","-52.1","81.8","","",""
"2018","CHC","2490","6369","167","761","722","66","38","9.0%","21.8%",".152",".313",".258",".333",".410",".321","100","27.2","772","60.75","6.36","25.5","-109.19","111.17","2.2","3.4","44.0","84.9%","76.0%","32.2%"
"2019","TBR","2459","6285","217","769","730","94","37","8.6%","23.8%",".178",".306",".254",".325",".431",".321","103","3.9","795","-9.00","-0.77","23.3","-112.29","111.03","8.4","30.8","-13.0","84.5%","75.3%","30.3%"
"2004","FLA","2223","6160","148","718","677","96","43","8.1%","15.7%",".143",".295",".264",".329",".406",".321","94","-54.1","710","-3.30","-0.33","18.2","-105.83","107.68","0.5","-51.2","30.1","85.8%","81.2%","21.1%"
"2015","TEX","2358","6187","172","751","707","101","39","8.1%","19.9%",".156",".300",".257",".325",".413",".321","98","35.7","732","40.61","3.85","21.6","-99.60","102.73","21.6","4.8","-3.0","86.6%","78.3%","29.7%"
"2001","CIN","2338","6222","176","735","690","103","54","7.5%","18.8%",".157",".301",".262",".324",".419",".321","88","-38.9","733","-45.03","-4.38","9.3","-114.41","107.98","-3.1","-100.1","-7.2","","",""
"2009","OAK","2306","6247","135","759","723","133","48","8.4%","16.7%",".135",".298",".262",".328",".397",".320","94","-43.6","705","10.59","1.29","14.6","-110.47","106.04","12.8","-38.0","-34.9","88.2%","81.5%","23.7%"
"2009","NYM","2377","6159","95","671","631","122","44","8.5%","15.1%",".124",".307",".270",".335",".394",".320","94","-46.8","691","-31.60","-3.10","12.8","-108.17","104.61","-5.4","-48.2","-16.8","91.2%","84.7%","24.2%"
"2000","PHI","1954","6273","144","708","668","102","30","9.7%","17.8%",".148",".290",".251",".329",".400",".320","83","-116.1","707","-81.62","-7.89","11.8","-121.47","110.72","7.3","-137.5","51.5","","",""
"2001","MIL","2303","6148","209","740","712","66","36","7.9%","22.8%",".175",".299",".251",".319",".426",".320","90","-40.4","722","-29.62","-2.94","14.5","-104.51","96.64","-2.7","-85.2","31.8","","",""
"2002","CLE","2236","6099","192","739","706","52","37","8.9%","16.4%",".163",".271",".249",".321",".412",".320","95","-28.5","704","-31.30","-2.82","10.4","-104.51","103.65","-12.3","-53.6","-50.4","86.2%","79.8%","16.8%"
"2013","TOR","2314","6152","185","712","669","112","41","8.3%","18.3%",".158",".284",".252",".318",".411",".320","99","29.6","704","5.93","0.54","17.0","-113.85","112.62","3.8","-2.8","-39.1","87.9%","80.9%","29.9%"
"2004","TOR","2194","6178","145","719","680","58","31","8.3%","17.5%",".143",".298",".260",".328",".403",".320","88","-54.0","712","-94.52","-8.91","12.7","-112.93","101.27","-9.3","-107.0","26.4","85.6%","80.6%","19.2%"
"2007","ARI","2305","6101","171","712","687","109","24","8.7%","18.2%",".163",".282",".250",".321",".413",".320","82","-62.1","692","-87.35","-8.17","10.0","-108.70","103.35","8.8","-132.9","34.1","87.0%","80.0%","22.0%"
"2006","CHC","2399","6147","166","716","677","121","49","6.4%","15.1%",".154",".294",".268",".319",".422",".320","84","-66.8","705","-93.13","-8.96","13.7","-110.13","100.76","-1.0","-128.9","65.3","89.3%","82.2%","25.3%"
"2011","BAL","2262","6156","191","708","684","81","25","7.3%","18.2%",".156",".288",".257",".316",".413",".320","96","17.6","709","-31.18","-3.25","12.3","-112.55","109.70","-11.3","-39.1","-48.9","86.6%","79.7%","31.2%"
"2005","NYM","2213","6146","175","722","683","153","40","7.9%","17.5%",".158",".290",".258",".322",".416",".320","93","-35.6","701","16.34","1.57","18.1","-106.21","106.18","21.0","-32.8","13.2","87.9%","80.8%","18.7%"
"2010","SFG","2354","6143","162","697","660","55","32","7.9%","17.9%",".151",".293",".257",".321",".408",".320","98","-13.8","692","18.09","2.21","25.8","-107.92","107.35","-18.3","-31.6","95.2","87.4%","79.9%","31.5%"
