web-scraper-order,web-scraper-start-url,links,links-href,
"1626239982-21561","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","May 29"
"1626239982-21657","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","W 141"
"1626239975-21101","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","L 1-2"
"1626239982-21456","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","Jun 14"
"1626239989-21922","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Opp Starter"
"1626239982-21709","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","SF"
"1626239967-20454","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","U 7"
"1626239989-22460","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Madison Bumgarner (L)"
"1626239959-19741","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","May 9"
"1626239967-20119","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","Jun 20"
"1626239975-21080","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","W 16-4"
"1626239989-22235","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","L 3-4"
"1626239959-19727","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","May 11"
"1626239982-21607","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","Seth Frankoff (R)"
"1626239959-19812","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","COL"
"1626239975-20719","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","W -142"
"1626239989-22404","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Riley Smith (R)"
"1626239982-21622","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","L 199"
"1626239989-22310","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","May 12"
"1626239989-22005","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Caleb Smith (L)"
"1626239989-22441","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","W 130"
"1626239989-21953","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Jul 7"
"1626239967-20349","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","O 6.5"
"1626239967-20033","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","L -248"
"1626239959-19539","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","@ WAS"
"1626239989-22056","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","W 111"
"1626239989-22320","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Madison Bumgarner (L)"
"1626239959-19811","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Apr 27"
"1626239989-22162","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","U 8"
"1626239967-20187","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","L 152"
"1626239989-22517","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Tyler Mahle (R)"
"1626239989-22163","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Jun 3"
"1626239975-21248","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","W 10-3"
"1626239989-22545","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Chris Paddack (R)"
"1626239982-21289","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","@ SD"
"1626239967-20500","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","Dinelson Lamet (R)"
"1626239975-21126","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","O 7"
"1626239967-20065","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","W 7-5"
"1626239975-21016","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","MIA"
"1626239975-20740","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","W -196"
"1626239982-21385","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","U 9"
"1626239982-21650","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","W -101"
"1626239989-22049","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","L 127"
"1626239982-21861","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","U 8.5"
"1626239959-19524","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Jun 13"
"1626239989-21951","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","L -119"
"1626239989-22225","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","P 9"
"1626239982-21798","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","U 10"
"1626239967-20275","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","W 10-3"
"1626239959-19845","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","O 7"
"1626239967-20232","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","NYM"
"1626239967-20120","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","CIN"
"1626239959-19457","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Johnny Cueto (R)"
"1626239959-19511","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","ARI"
"1626239967-20479","https://www.covers.com/sport/baseball/mlb/teams","San Diego","https://www.covers.com/sport/baseball/mlb/teams/main/san-diego-padres","Blake Snell (L)"
"1626239975-21256","https://www.covers.com/sport/baseball/mlb/teams","LA Dodgers","https://www.covers.com/sport/baseball/mlb/teams/main/los-angeles-dodgers","Julio Urias (L)"
"1626239959-19874","https://www.covers.com/sport/baseball/mlb/teams","San Francisco","https://www.covers.com/sport/baseball/mlb/teams/main/san-francisco-giants","Apr 18"
"1626239989-22104","https://www.covers.com/sport/baseball/mlb/teams","Arizona","https://www.covers.com/sport/baseball/mlb/teams/main/arizona-diamondbacks","Alex Wood (L)"
"1626239982-21869","https://www.covers.com/sport/baseball/mlb/teams","Colorado","https://www.covers.com/sport/baseball/mlb/teams/main/colorado-rockies","Apr 8"
