Year,Tm,Lg,Wtm,Ltm,tmW-L%,Outs,RC,RC/G,AIR,BAbip,BA,OBP,SLG,OPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
2018,CHC,NL,95,68,1,4402,806,4.9,105,0.313,0.258,0.333,0.410,0.744,97,0.534,-22.4,-2.4,0.702,0.259,0.152,94.6
2018,PHI,NL,80,82,0,4346,709,4.4,104,0.289,0.234,0.314,0.393,0.707,89,0.481,-92.8,-9.3,0.664,0.274,0.158,100.7
2018,SEA,AL,89,73,1,4346,712,4.4,94,0.295,0.254,0.314,0.408,0.722,102,0.475,15.4,1.4,0.662,0.239,0.154,109.1
2018,CHW,AL,62,100,0,4387,678,4.1,98,0.304,0.241,0.302,0.401,0.703,93,0.448,-63.5,-6.3,0.648,0.248,0.160,127.4
2018,TEX,AL,67,95,0,4351,727,4.5,108,0.293,0.240,0.318,0.404,0.723,89,0.484,-90.0,-9.0,0.682,0.273,0.164,107.1
2018,TBR,AL,90,72,1,4311,766,4.8,97,0.317,0.258,0.333,0.406,0.740,105,0.512,46.9,4.4,0.707,0.261,0.148,138.1
2018,CIN,NL,67,95,0,4373,758,4.7,104,0.307,0.254,0.328,0.402,0.729,95,0.509,-42.0,-4.4,0.681,0.257,0.148,106.4
2018,CLE,AL,91,71,1,4351,847,5.2,102,0.291,0.259,0.332,0.434,0.766,106,0.553,46.8,4.4,0.747,0.292,0.176,166.2
2018,COL,NL,91,72,1,4349,807,5.0,116,0.304,0.256,0.322,0.435,0.757,90,0.540,-94.3,-9.6,0.718,0.282,0.179,130.8
2018,LAD,NL,92,71,1,4399,861,5.3,100,0.294,0.250,0.333,0.442,0.774,109,0.564,77.6,7.4,0.751,0.317,0.192,113.7
2018,DET,AL,64,98,0,4363,640,3.9,102,0.294,0.241,0.300,0.380,0.680,83,0.425,-137.0,-13.7,0.612,0.223,0.138,92.2
2018,SDP,NL,66,96,0,4426,637,3.9,96,0.294,0.235,0.297,0.380,0.677,88,0.424,-92.4,-9.3,0.616,0.242,0.145,119.8
2018,PIT,NL,82,79,1,4308,729,4.6,98,0.298,0.254,0.317,0.407,0.725,98,0.498,-11.8,-1.4,0.668,0.247,0.154,96.8
2018,STL,NL,88,74,1,4347,759,4.7,99,0.294,0.249,0.321,0.409,0.730,99,0.512,-6.1,-0.7,0.686,0.261,0.160,96.4
2017,ARI,NL,93,69,1,4322,845,5.2,116,0.306,0.254,0.329,0.445,0.774,94,0.533,-57.9,-5.8,0.750,0.308,0.190,140.3
2017,TBR,AL,80,82,0,4351,744,4.6,101,0.296,0.245,0.317,0.422,0.739,99,0.474,-3.7,-0.5,0.700,0.287,0.178,127.0
2017,ATL,NL,72,90,0,4376,772,4.7,109,0.305,0.263,0.326,0.412,0.738,92,0.486,-67.2,-6.7,0.681,0.243,0.150,105.0
2017,SFG,NL,64,98,0,4422,669,4.0,107,0.294,0.249,0.309,0.381,0.689,81,0.416,-151.6,-14.7,0.620,0.223,0.132,95.4
2017,SEA,AL,78,84,0,4330,777,4.8,100,0.300,0.259,0.325,0.424,0.749,103,0.496,31.7,2.9,0.702,0.262,0.165,123.2
2017,BAL,AL,75,87,0,4379,760,4.6,102,0.306,0.260,0.312,0.435,0.747,100,0.481,-6.9,-0.8,0.677,0.248,0.175,56.2
2017,WSN,NL,97,65,1,4310,872,5.4,112,0.311,0.266,0.332,0.449,0.782,99,0.548,-12.4,-1.5,0.752,0.295,0.183,143.8
2017,MIA,NL,77,85,0,4345,836,5.1,100,0.313,0.267,0.331,0.431,0.762,107,0.525,66.2,6.0,0.718,0.261,0.163,123.9
2017,SDP,NL,71,91,0,4322,649,4.0,104,0.287,0.234,0.299,0.393,0.692,83,0.413,-132.5,-12.9,0.639,0.256,0.160,121.0
2017,BOS,AL,93,69,1,4425,772,4.7,109,0.300,0.258,0.329,0.407,0.736,92,0.483,-64.2,-6.2,0.693,0.263,0.149,130.0
2017,LAD,NL,104,58,1,4277,833,5.2,105,0.293,0.249,0.335,0.437,0.771,104,0.531,40.5,3.7,0.749,0.317,0.188,114.2
2017,PIT,NL,75,87,0,4353,694,4.3,106,0.286,0.244,0.318,0.386,0.704,86,0.440,-110.4,-10.8,0.649,0.243,0.142,92.8
2017,CHC,NL,92,70,1,4339,840,5.2,111,0.302,0.255,0.338,0.437,0.775,99,0.528,-10.3,-1.2,0.744,0.301,0.182,97.0
2017,KCR,AL,80,82,0,4345,713,4.4,105,0.295,0.259,0.311,0.420,0.731,93,0.456,-66.6,-6.6,0.664,0.242,0.160,123.7
2017,PHI,NL,66,96,0,4363,728,4.5,107,0.304,0.250,0.315,0.409,0.724,89,0.460,-88.3,-8.6,0.665,0.255,0.159,88.1
2017,CHW,AL,67,95,0,4324,727,4.5,102,0.309,0.256,0.314,0.417,0.731,96,0.467,-33.6,-3.4,0.669,0.241,0.161,102.8
2017,HOU,AL,101,61,1,4283,937,5.8,99,0.309,0.282,0.346,0.478,0.823,123,0.586,200.0,18.9,0.797,0.297,0.196,138.8
2017,LAA,AL,80,82,0,4349,702,4.3,102,0.277,0.243,0.315,0.397,0.712,92,0.448,-56.0,-5.6,0.672,0.268,0.155,157.1
2017,OAK,AL,75,87,0,4324,774,4.8,100,0.294,0.246,0.319,0.436,0.755,104,0.495,40.6,3.8,0.713,0.300,0.190,91.7
2017,TOR,AL,76,86,0,4416,717,4.3,105,0.276,0.240,0.312,0.412,0.724,91,0.451,-71.8,-7.1,0.668,0.276,0.172,85.6
2017,CIN,NL,68,94,0,4341,838,5.2,110,0.294,0.254,0.329,0.433,0.761,97,0.527,-30.8,-3.3,0.736,0.297,0.179,155.0
2017,CLE,AL,102,60,1,4278,866,5.4,109,0.295,0.263,0.339,0.449,0.788,104,0.551,33.3,3.1,0.764,0.308,0.186,124.4
2017,MIL,NL,86,76,1,4329,783,4.8,110,0.308,0.249,0.322,0.429,0.751,94,0.497,-55.9,-5.5,0.721,0.296,0.180,162.9
2017,NYY,AL,91,71,1,4346,886,5.4,108,0.304,0.262,0.339,0.447,0.785,105,0.554,40.9,3.7,0.765,0.307,0.185,131.1
2017,COL,NL,87,75,1,4304,844,5.2,123,0.332,0.273,0.338,0.444,0.781,90,0.534,-93.8,-9.2,0.732,0.269,0.171,90.3
2017,MIN,AL,85,77,1,4311,828,5.1,104,0.306,0.260,0.334,0.434,0.768,104,0.527,34.2,3.2,0.741,0.293,0.174,130.0
2017,NYM,NL,70,92,0,4345,793,4.9,103,0.287,0.250,0.320,0.434,0.755,101,0.501,7.7,0.6,0.711,0.286,0.184,92.1
2017,STL,NL,83,79,1,4329,808,5.0,107,0.304,0.256,0.334,0.426,0.760,99,0.511,-0.1,-0.2,0.724,0.287,0.170,114.6
2017,TEX,AL,78,84,0,4324,767,4.7,113,0.291,0.244,0.320,0.430,0.750,91,0.491,-82.8,-8.1,0.722,0.299,0.186,153.0
2017,DET,AL,64,98,0,4321,768,4.7,105,0.306,0.258,0.324,0.424,0.748,98,0.492,-22.1,-2.3,0.695,0.262,0.166,96.5
2016,KCR,AL,81,81,1,4343,683,4.2,104,0.309,0.261,0.312,0.400,0.712,90,0.448,-87.4,-8.6,0.648,0.223,0.139,132.7
2016,PIT,NL,78,83,0,4371,768,4.7,104,0.311,0.257,0.333,0.402,0.734,96,0.502,-26.2,-2.8,0.694,0.257,0.144,128.0
2016,LAA,AL,74,88,0,4287,720,4.5,98,0.289,0.260,0.322,0.405,0.726,100,0.478,9.1,0.7,0.664,0.239,0.145,99.5
2016,MIL,NL,73,89,0,4310,736,4.6,107,0.304,0.244,0.322,0.407,0.729,92,0.489,-65.7,-6.6,0.708,0.299,0.163,187.3
