,Date,Tm,Home_Away,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak
3785,"Tuesday, Jun 8",SEA,@,DET,L,3.0,5.0,9.0,30-32,3.0,6.0,Boyd,Gonzales,Cisnero,3:09,N,9081.0,.91,-1.0
3786,"Wednesday, Jun 9",SEA,@,DET,W,9.0,6.0,11.0,31-32,3.0,6.0,Chargois,Norris,None,3:43,N,9162.0,.75,1.0
3787,"Thursday, Jun 10",SEA,@,DET,L,3.0,8.0,9.0,31-33,3.0,6.0,Jimenez,Sheffield,None,3:21,D,9290.0,.74,-1.0
3788,"Friday, Jun 11",SEA,@,CLE,L,0.0,7.0,9.0,31-34,4.0,7.0,Civale,Dunn,None,2:56,N,22970.0,.80,-2.0
3789,"Saturday, Jun 12",SEA,@,CLE,L-wo,4.0,5.0,10.0,31-35,4.0,8.0,Karinchak,Sewald,None,3:41,D,20116.0,.69,-3.0
3790,"Sunday, Jun 13",SEA,@,CLE,W,6.0,2.0,9.0,32-35,4.0,8.0,Gilbert,Bieber,None,3:17,D,17371.0,.61,1.0
3791,"Monday, Jun 14",SEA,Home,MIN,W,4.0,3.0,9.0,33-35,4.0,8.0,Sewald,Robles,Steckenrider,3:10,N,9185.0,.60,2.0
3792,"Tuesday, Jun 15",SEA,Home,MIN,W,10.0,0.0,9.0,34-35,3.0,8.0,Flexen,Happ,None,2:53,N,7669.0,.66,3.0
3793,"Wednesday, Jun 16",SEA,Home,MIN,L,2.0,7.0,9.0,34-36,3.0,9.0,Thielbar,Sheffield,None,2:54,N,8098.0,.69,-1.0
3794,"Thursday, Jun 17",SEA,Home,TBR,W-wo,6.0,5.0,9.0,35-36,3.0,8.5,Santiago,Fairbanks,None,3:08,N,9092.0,.59,1.0
3795,"Friday, Jun 18",SEA,Home,TBR,W,5.0,1.0,9.0,36-36,3.0,8.5,Kikuchi,Wacha,None,2:48,N,12654.0,.65,2.0
3796,"Saturday, Jun 19",SEA,Home,TBR,W-wo,6.0,5.0,10.0,37-36,3.0,7.5,Montero,Feyereisen,None,3:02,N,14772.0,.73,3.0
3797,"Sunday, Jun 20",SEA,Home,TBR,W-wo,6.0,2.0,10.0,38-36,3.0,6.5,Montero,Castillo,None,3:08,D,18172.0,.81,4.0
3798,"Tuesday, Jun 22",SEA,Home,COL,W,2.0,1.0,9.0,39-36,3.0,7.0,Sewald,Kinley,Graveman,2:39,N,12879.0,.77,5.0
3799,"Wednesday, Jun 23",SEA,Home,COL,L,2.0,5.0,9.0,39-37,3.0,8.0,Marquez,Sheffield,Bard,3:00,D,11141.0,.82,-1.0
3800,"Friday, Jun 25",SEA,@,CHW,W,9.0,3.0,9.0,40-37,3.0,8.0,Kikuchi,Rodon,None,3:31,N,32189.0,.74,1.0
3801,"Saturday, Jun 26",SEA,@,CHW,W,3.0,2.0,9.0,41-37,3.0,7.5,Sewald,Hendriks,Graveman,3:17,D,30017.0,.80,2.0
3802,"Sunday, Jun 27",SEA,@,CHW,L,5.0,7.0,7.0,41-38,3.0,7.5,Bummer,Dugger,Hendriks,2:53,D,30017.0,.91,-1.0
3803,"Tuesday, Jun 29",SEA,@,TOR,L,3.0,9.0,9.0,41-39,3.0,7.0,Ray,Montero,None,3:08,N,6736.0,.90,-2.0
3804,"Wednesday, Jun 30",SEA,@,TOR,W,9.0,7.0,10.0,42-39,3.0,6.0,Graveman,Murphy,Steckenrider,4:12,N,6632.0,.89,1.0
3805,"Thursday, Jul 1",SEA,@,TOR,W,7.0,2.0,9.0,43-39,3.0,6.0,Kikuchi,Ryu,Sewald,3:23,D,5456.0,.95,2.0
3806,"Friday, Jul 2",SEA,Home,TEX,W-wo,5.0,4.0,10.0,44-39,3.0,6.0,Misiewicz,Hearn,None,4:19,N,28638.0,.99,3.0
3807,"Saturday, Jul 3",SEA,Home,TEX,L,3.0,7.0,9.0,44-40,3.0,7.0,Lyles,Gonzales,None,3:12,N,16046.0,1.04,-1.0
3808,"Sunday, Jul 4",SEA,Home,TEX,W,4.0,1.0,9.0,45-40,3.0,7.0,Flexen,Foltynewicz,Graveman,2:22,D,15146.0,.89,1.0
3809,"Tuesday, Jul 6",SEA,Home,NYY,L,1.0,12.0,9.0,45-41,3.0,8.0,Taillon,Sheffield,None,3:37,N,16547.0,1.02,-1.0
3810,"Wednesday, Jul 7",SEA,Home,NYY,L,4.0,5.0,9.0,45-42,3.0,9.0,Cessa,Kikuchi,Green,3:02,N,17205.0,.96,-2.0
3811,"Thursday, Jul 8",SEA,Home,NYY,W,4.0,0.0,9.0,46-42,3.0,8.0,Gilbert,Montgomery,None,2:27,D,17524.0,.80,1.0
3812,"Friday, Jul 9",SEA,Home,LAA,W,7.0,3.0,9.0,47-42,3.0,7.0,Steckenrider,Mayers,None,3:31,N,20381.0,.96,2.0
3813,"Saturday, Jul 10",SEA,Home,LAA,W,2.0,0.0,9.0,48-42,3.0,6.0,Flexen,Sandoval,Sewald,2:50,N,27353.0,1.04,3.0
3814,"Sunday, Jul 11",SEA,Home,LAA,L,1.0,7.0,9.0,48-43,3.0,7.0,Suarez,Ramirez,Iglesias,3:32,D,23348.0,1.17,-1.0
3815,"Friday, Jul 16",SEA,@,LAA,W,6.0,5.0,9.0,49-43,3.0,7.0,Flexen,Heaney,Sewald,3:07,N,40880.0,1.03,1.0
3816,"Saturday, Jul 17",SEA,@,LAA,L,4.0,9.0,9.0,49-44,3.0,7.0,Cobb,Kikuchi,None,3:20,N,28927.0,1.03,-1.0
3817,"Sunday, Jul 18",SEA,@,LAA,W,7.0,4.0,9.0,50-44,3.0,6.0,Gilbert,Sandoval,None,3:20,D,23434.0,1.03,1.0
3818,"Tuesday, Jul 20",SEA,@,COL,W,6.0,4.0,9.0,51-44,3.0,6.5,Gonzales,Marquez,Graveman,3:16,N,30715.0,1.08,2.0
3819,"Wednesday, Jul 21",SEA,@,COL,L,3.0,6.0,9.0,51-45,3.0,6.5,Gomber,Middleton,Bard,2:35,D,25053.0,1.07,-1.0
3820,"Thursday, Jul 22",SEA,Home,OAK,L,1.0,4.0,9.0,51-46,3.0,7.0,Manaea,Flexen,Trivino,3:23,N,18553.0,1.24,-2.0
3821,"Friday, Jul 23",SEA,Home,OAK,W,4.0,3.0,9.0,52-46,3.0,7.0,Sewald,Diekman,Graveman,3:17,N,21312.0,1.12,1.0
3822,"Saturday, Jul 24",SEA,Home,OAK,W-wo,5.0,4.0,9.0,53-46,3.0,7.0,Graveman,Trivino,None,3:26,N,30843.0,1.23,2.0
3823,"Sunday, Jul 25",SEA,Home,OAK,W,4.0,3.0,9.0,54-46,3.0,7.0,Gonzales,Irvin,Steckenrider,3:07,D,21501.0,1.26,3.0
3824,"Monday, Jul 26",SEA,Home,HOU,W,11.0,8.0,9.0,55-46,3.0,6.0,Graveman,Stanek,Sewald,3:54,N,15162.0,1.39,4.0
3825,"Tuesday, Jul 27",SEA,Home,HOU,L,6.0,8.0,9.0,55-47,3.0,7.0,McCullers,Flexen,None,3:26,N,18930.0,1.59,-1.0
3826,"Wednesday, Jul 28",SEA,Home,HOU,L,4.0,11.0,9.0,55-48,3.0,8.0,Odorizzi,Kikuchi,None,4:14,D,18908.0,1.37,-2.0
3827,"Friday, Jul 30",SEA,@,TEX,W,9.0,5.0,9.0,56-48,3.0,8.0,Gilbert,Allard,None,3:17,N,27542.0,.92,1.0
3828,"Saturday, Jul 31",SEA,@,TEX,L-wo,4.0,5.0,10.0,56-49,3.0,8.0,Patton,Castillo,None,3:19,N,33463.0,.98,-1.0
3829,"Sunday, Aug 1",SEA,@,TEX,L-wo,3.0,4.0,9.0,56-50,3.0,8.0,Santana,Swanson,None,3:05,D,23664.0,.92,-2.0
3830,"Monday, Aug 2",SEA,@,TBR,W,8.0,2.0,9.0,57-50,3.0,7.5,Flexen,Wacha,None,3:20,N,5855.0,.89,1.0
3831,"Tuesday, Aug 3",SEA,@,TBR,W,4.0,2.0,9.0,58-50,3.0,7.5,Kikuchi,Patino,Castillo,3:12,N,10071.0,1.03,2.0
3832,"Wednesday, Aug 4",SEA,@,TBR,L,3.0,4.0,9.0,58-51,3.0,7.5,Fleming,Gilbert,Sherriff,2:39,D,9701.0,1.15,-1.0
3833,"Thursday, Aug 5",SEA,@,NYY,L,3.0,5.0,9.0,58-52,3.0,7.5,Green,Sewald,Chapman,3:13,N,33211.0,1.07,-2.0
3834,"Friday, Aug 6",SEA,@,NYY,L-wo,2.0,3.0,11.0,58-53,3.0,7.5,Abreu,Middleton,None,4:16,N,43180.0,.99,-3.0
3835,"Saturday, Aug 7",SEA,@,NYY,L,4.0,5.0,9.0,58-54,3.0,8.5,Heaney,Misiewicz,Loaisiga,3:11,D,35165.0,.84,-4.0
3836,"Sunday, Aug 8",SEA,@,NYY,W,2.0,0.0,9.0,59-54,3.0,7.5,Sewald,Luetge,Steckenrider,3:48,D,35437.0,.68,1.0
3837,"Tuesday, Aug 10",SEA,Home,TEX,L,4.0,5.0,10.0,59-55,3.0,8.5,Martin,Swanson,None,3:28,N,15412.0,.69,-1.0
3838,"Wednesday, Aug 11",SEA,Home,TEX,W-wo,2.0,1.0,9.0,60-55,3.0,8.5,Steckenrider,Santana,None,3:12,N,15789.0,.54,1.0
3839,"Thursday, Aug 12",SEA,Home,TEX,W,3.0,1.0,9.0,61-55,3.0,8.0,Gonzales,Foltynewicz,None,2:08,D,14031.0,.54,2.0
3840,"Friday, Aug 13",SEA,Home,TOR,W-wo,3.0,2.0,9.0,62-55,3.0,8.0,Steckenrider,Cimber,None,3:00,N,28207.0,.73,3.0
3841,"Saturday, Aug 14",SEA,Home,TOR,W,9.0,3.0,9.0,63-55,3.0,8.0,Middleton,Ryu,None,3:32,N,26020.0,.82,4.0
3842,"Sunday, Aug 15",SEA,Home,TOR,L,3.0,8.0,9.0,63-56,3.0,8.0,Matz,Gilbert,None,3:05,D,22679.0,.82,-1.0
3843,"Tuesday, Aug 17",SEA,@,TEX,W,3.0,1.0,9.0,64-56,3.0,6.5,Anderson,Hearn,Sewald,2:56,N,15140.0,.71,1.0
3844,"Wednesday, Aug 18",SEA,@,TEX,W,3.0,1.0,9.0,65-56,3.0,5.5,Gonzales,Foltynewicz,Steckenrider,3:00,N,19119.0,.86,2.0
3845,"Thursday, Aug 19",SEA,@,TEX,W,9.0,8.0,11.0,66-56,3.0,5.5,Smith,Barlow,Sewald,4:02,D,16391.0,1.10,3.0
3846,"Friday, Aug 20",SEA,@,HOU,L,3.0,12.0,9.0,66-57,3.0,6.5,McCullers,Kikuchi,None,3:05,N,26899.0,1.46,-1.0
3847,"Saturday, Aug 21",SEA,@,HOU,L,1.0,15.0,9.0,66-58,3.0,7.5,Odorizzi,Gilbert,None,3:22,D,29908.0,1.15,-2.0
3848,"Sunday, Aug 22",SEA,@,HOU,W,6.0,3.0,11.0,67-58,3.0,6.5,Sewald,Stanek,Ramirez,3:58,D,27526.0,.97,1.0
3849,"Monday, Aug 23",SEA,@,OAK,W,5.0,3.0,9.0,68-58,3.0,5.5,Misiewicz,Trivino,Sewald,3:07,N,4140.0,1.23,2.0
3850,"Tuesday, Aug 24",SEA,@,OAK,W,5.0,1.0,9.0,69-58,3.0,5.5,Flexen,Irvin,Steckenrider,3:09,D,4508.0,1.50,3.0
3851,"Thursday, Aug 26",SEA,Home,KCR,L,4.0,6.0,9.0,69-59,3.0,6.5,Santana,Smith,Barlow,3:26,N,16882.0,1.23,-1.0
3852,"Friday, Aug 27",SEA,Home,KCR,L,7.0,8.0,12.0,69-60,3.0,7.5,Staumont,Ramirez,None,4:40,N,22953.0,1.04,-2.0
3853,"Saturday, Aug 28",SEA,Home,KCR,L,2.0,4.0,9.0,69-61,3.0,8.5,Payamps,Anderson,Barlow,3:13,D,24575.0,.79,-3.0
3854,"Sunday, Aug 29",SEA,Home,KCR,W,4.0,3.0,9.0,70-61,3.0,7.5,Gonzales,Zuber,Steckenrider,2:51,D,20044.0,.58,1.0
3855,"Monday, Aug 30",SEA,Home,HOU,L,3.0,4.0,9.0,70-62,3.0,8.5,Maton,Smith,Pressly,3:35,N,11630.0,.98,-1.0
3856,"Tuesday, Aug 31",SEA,Home,HOU,W,4.0,0.0,9.0,71-62,3.0,7.5,Sewald,Graveman,None,3:13,N,10452.0,.68,1.0
3857,"Wednesday, Sep 1",SEA,Home,HOU,W,1.0,0.0,9.0,72-62,3.0,6.5,Sheffield,Odorizzi,Sewald,3:17,D,10519.0,.92,2.0
3858,"Friday, Sep 3",SEA,@,ARI,W,6.0,5.0,10.0,73-62,3.0,6.5,Sheffield,Clarke,Ramirez,3:31,N,12729.0,.84,3.0
3859,"Saturday, Sep 4",SEA,@,ARI,W,8.0,5.0,9.0,74-62,2.0,5.5,Gonzales,Smith,Castillo,3:10,N,18819.0,.90,4.0
3860,"Sunday, Sep 5",SEA,@,ARI,W,10.0,4.0,11.0,75-62,2.0,4.5,Ramirez,Clarke,None,3:49,D,14408.0,1.15,5.0
3861,"Monday, Sep 6",SEA,@,HOU,L,2.0,11.0,9.0,75-63,2.0,5.5,McCullers,Kikuchi,Bielak,3:23,N,25802.0,2.17,-1.0
3862,"Tuesday, Sep 7",SEA,@,HOU,L-wo,4.0,5.0,10.0,75-64,2.0,6.5,Stanek,Ramirez,None,3:29,N,20353.0,1.69,-2.0
3863,"Wednesday, Sep 8",SEA,@,HOU,W,8.0,5.0,9.0,76-64,2.0,5.5,Castillo,Pressly,None,3:46,D,19089.0,1.37,1.0
3886,"Thursday, Apr 1",SFG,@,SEA,L-wo,7.0,8.0,10.0,0-1,3.0,1.0,Misiewicz,Alvarez,None,3:45,N,8174.0,.92,-1.0
3887,"Friday, Apr 2",SFG,@,SEA,W,6.0,3.0,9.0,1-1,2.0,1.0,Peralta,Steckenrider,McGee,3:16,N,8392.0,.90,1.0
3888,"Saturday, Apr 3",SFG,@,SEA,L,0.0,4.0,9.0,1-2,3.0,2.0,Flexen,Webb,Montero,2:59,N,8651.0,.94,-1.0
3889,"Monday, Apr 5",SFG,@,SDP,W,3.0,2.0,9.0,2-2,3.0,1.5,Baragar,Stammen,McGee,3:35,N,10350.0,1.08,1.0
3890,"Tuesday, Apr 6",SFG,@,SDP,L,1.0,3.0,9.0,2-3,3.0,2.5,Kela,Wisler,Melancon,2:53,N,10350.0,1.11,-1.0
3891,"Wednesday, Apr 7",SFG,@,SDP,W,3.0,2.0,10.0,3-3,3.0,1.5,McGee,Hill,Peralta,3:21,D,10350.0,1.06,1.0
3892,"Friday, Apr 9",SFG,Home,COL,W,3.0,1.0,9.0,4-3,3.0,1.5,Cueto,Gomber,McGee,2:54,D,7390.0,1.08,2.0
3893,"Saturday, Apr 10",SFG,Home,COL,W,4.0,3.0,9.0,5-3,3.0,1.5,Baragar,Bowden,McGee,3:13,D,6176.0,1.10,3.0
3894,"Sunday, Apr 11",SFG,Home,COL,W,4.0,0.0,9.0,6-3,3.0,1.5,DeSclafani,Marquez,None,3:00,D,6560.0,1.13,4.0
3895,"Monday, Apr 12",SFG,Home,CIN,L,0.0,3.0,9.0,6-4,3.0,2.0,Miley,Sanchez,Sims,2:35,N,3662.0,1.09,-1.0
3896,"Tuesday, Apr 13",SFG,Home,CIN,W,7.0,6.0,9.0,7-4,3.0,2.0,Peralta,Pérez,McGee,3:11,N,3673.0,1.03,1.0
3897,"Wednesday, Apr 14",SFG,Home,CIN,W,3.0,0.0,9.0,8-4,2.0,2.0,Cueto,Mahle,McGee,2:30,D,6409.0,1.08,2.0
3898,"Friday, Apr 16",SFG,@,MIA,L,1.0,4.0,9.0,8-5,2.0,3.5,Bass,Wisler,Garcia,2:44,N,5734.0,1.09,-1.0
3899,"Saturday, Apr 17",SFG,@,MIA,L-wo,6.0,7.0,10.0,8-6,2.0,4.5,Garcia,Garcia,None,3:56,N,6014.0,1.05,-2.0
3900,"Sunday, Apr 18",SFG,@,MIA,W,1.0,0.0,9.0,9-6,2.0,3.5,Wood,Lopez,Rogers,2:53,D,6129.0,1.00,1.0
3901,"Monday, Apr 19",SFG,@,PHI,W,2.0,0.0,9.0,10-6,2.0,2.5,Gausman,Anderson,Peralta,3:10,N,9510.0,1.03,2.0
3902,"Tuesday, Apr 20",SFG,@,PHI,W,10.0,7.0,9.0,11-6,2.0,2.5,Alvarez,Brogdon,None,3:16,N,10584.0,1.13,3.0
3903,"Wednesday, Apr 21",SFG,@,PHI,L-wo,5.0,6.0,9.0,11-7,2.0,3.0,Neris,Peralta,None,3:15,D,9537.0,1.11,-1.0
3904,"Thursday, Apr 22",SFG,Home,MIA,W,3.0,0.0,9.0,12-7,2.0,2.0,Sanchez,Castano,McGee,2:26,N,4580.0,1.10,1.0
3905,"Friday, Apr 23",SFG,Home,MIA,W,5.0,3.0,9.0,13-7,2.0,1.0,Wood,Alcantara,None,2:41,N,6657.0,1.16,2.0
3906,"Saturday, Apr 24",SFG,Home,MIA,L,2.0,5.0,9.0,13-8,2.0,2.0,Floro,Santos,None,2:46,N,8282.0,1.16,-1.0
3907,"Sunday, Apr 25",SFG,Home,MIA,W,4.0,3.0,9.0,14-8,2.0,1.0,Webb,Campbell,Rogers,3:10,D,7572.0,1.14,1.0
3908,"Monday, Apr 26",SFG,Home,COL,W,12.0,0.0,9.0,15-8,1.0,Tied,DeSclafani,Gomber,None,2:27,N,4129.0,1.23,2.0
3909,"Tuesday, Apr 27",SFG,Home,COL,L,5.0,7.0,10.0,15-9,1.0,Tied,Bard,Santos,Estevez,3:30,N,5595.0,1.26,-1.0
3910,"Wednesday, Apr 28",SFG,Home,COL,W,7.0,3.0,9.0,16-9,1.0,Tied,Wood,Marquez,None,3:20,N,6163.0,1.24,1.0
3911,"Friday, Apr 30",SFG,@,SDP,L,2.0,3.0,9.0,16-10,1.0,up 0.5,Darvish,Webb,Melancon,3:15,N,15250.0,1.38,-1.0
3912,"Saturday, May 1",SFG,@,SDP,L,2.0,6.0,9.0,16-11,1.0,up 0.5,Snell,DeSclafani,None,2:56,N,15250.0,1.39,-2.0
3913,"Sunday, May 2",SFG,@,SDP,W,7.0,1.0,9.0,17-11,1.0,up 0.5,Gausman,Musgrove,None,3:10,D,15250.0,1.39,1.0
3915,"Tuesday, May 4 (2)",SFG,@,COL,L-wo,6.0,8.0,7.0,18-12,1.0,up 1.5,Bowden,Doval,None,3:04,N,10213.0,1.25,-1.0
3916,"Wednesday, May 5",SFG,@,COL,L,5.0,6.0,9.0,18-13,1.0,up 0.5,Gray,Webb,Bard,3:08,D,9521.0,1.30,-2.0
3917,"Friday, May 7",SFG,Home,SDP,W,5.0,4.0,9.0,19-13,1.0,up 1.5,Doval,Kela,McGee,3:34,N,9219.0,1.46,1.0
3918,"Saturday, May 8",SFG,Home,SDP,W,7.0,1.0,9.0,20-13,1.0,up 2.5,Gausman,Musgrove,None,3:02,D,9764.0,1.51,2.0
3919,"Sunday, May 9",SFG,Home,SDP,L,1.0,11.0,9.0,20-14,1.0,up 1.5,Weathers,Cueto,None,3:08,D,10008.0,1.54,-1.0
3920,"Monday, May 10",SFG,Home,TEX,W,3.0,1.0,9.0,21-14,1.0,up 2.0,Wood,King,McGee,2:47,N,7450.0,1.24,1.0
3921,"Tuesday, May 11",SFG,Home,TEX,W,4.0,2.0,9.0,22-14,1.0,up 2.0,Webb,Lyles,McGee,3:00,D,7268.0,1.28,2.0
3922,"Thursday, May 13",SFG,@,PIT,W,3.0,1.0,9.0,23-14,1.0,up 2.5,DeSclafani,Crowe,Rogers,2:52,N,4099.0,1.27,3.0
3923,"Friday, May 14",SFG,@,PIT,L-wo,2.0,3.0,11.0,23-15,1.0,up 1.5,Oviedo,Baragar,None,3:20,N,6743.0,1.28,-1.0
3924,"Saturday, May 15",SFG,@,PIT,L-wo,6.0,8.0,9.0,23-16,1.0,up 0.5,Rodriguez,McGee,None,3:36,N,7833.0,1.30,-2.0
3925,"Sunday, May 16",SFG,@,PIT,W,4.0,1.0,9.0,24-16,1.0,up 0.5,Wood,Keller,Rogers,3:13,D,7356.0,1.25,1.0
3926,"Monday, May 17",SFG,@,CIN,W,6.0,3.0,9.0,25-16,1.0,up 0.5,Webb,Gray,Rogers,3:02,N,11004.0,1.31,2.0
3927,"Tuesday, May 18",SFG,@,CIN,W,4.0,2.0,9.0,26-16,1.0,up 0.5,DeSclafani,Castillo,McGee,2:52,N,8745.0,1.30,3.0
3928,"Wednesday, May 19",SFG,@,CIN,W,4.0,0.0,9.0,27-16,1.0,up 0.5,Gausman,Miley,None,3:07,N,10326.0,1.33,4.0
3929,"Thursday, May 20",SFG,@,CIN,W,19.0,4.0,9.0,28-16,1.0,up 1.0,Cueto,Mahle,None,3:47,D,11656.0,1.25,5.0
3930,"Friday, May 21",SFG,Home,LAD,L,1.0,2.0,9.0,28-17,1.0,Tied,Bauer,Wood,Treinen,2:55,N,12753.0,1.54,-1.0
3931,"Saturday, May 22",SFG,Home,LAD,L,3.0,6.0,9.0,28-18,2.0,1.0,Buehler,Kazmir,Jansen,2:54,D,13660.0,1.52,-2.0
3932,"Sunday, May 23",SFG,Home,LAD,L,5.0,11.0,9.0,28-19,3.0,2.0,Urias,DeSclafani,None,3:06,D,13346.0,1.56,-3.0
3933,"Tuesday, May 25",SFG,@,ARI,W,8.0,0.0,9.0,29-19,3.0,1.5,Gausman,Martin,None,3:16,N,10311.0,1.26,1.0
3934,"Wednesday, May 26",SFG,@,ARI,W,5.0,4.0,9.0,30-19,2.0,1.5,Tropeano,Young,Rogers,3:03,N,8597.0,1.26,2.0
3935,"Thursday, May 27",SFG,@,LAD,L,3.0,4.0,9.0,30-20,3.0,1.5,Gonzalez,Wood,Jansen,2:26,N,16343.0,1.52,-1.0
3936,"Friday, May 28",SFG,@,LAD,W,8.0,5.0,10.0,31-20,2.0,1.5,Rogers,Jansen,Garcia,3:43,N,17873.0,1.62,1.0
3937,"Saturday, May 29",SFG,@,LAD,W,11.0,6.0,9.0,32-20,2.0,1.5,Webb,Urias,None,3:38,D,19097.0,1.56,2.0
3938,"Sunday, May 30",SFG,@,LAD,W,5.0,4.0,9.0,33-20,2.0,0.5,Gausman,Kershaw,McGee,3:07,D,18155.0,1.53,3.0
3939,"Monday, May 31",SFG,Home,LAA,W,6.0,1.0,9.0,34-20,1.0,up 0.5,Cueto,Bundy,None,2:58,D,13144.0,1.23,4.0
3940,"Tuesday, Jun 1",SFG,Home,LAA,L,1.0,8.0,9.0,34-21,1.0,up 0.5,Heaney,Wood,None,2:52,N,10546.0,1.25,-1.0
3941,"Thursday, Jun 3",SFG,Home,CHC,W,7.0,2.0,9.0,35-21,1.0,up 1.0,DeSclafani,Davies,None,3:05,N,10737.0,1.33,1.0
3942,"Friday, Jun 4",SFG,Home,CHC,W,8.0,5.0,9.0,36-21,1.0,up 1.0,Menez,Arrieta,Rogers,3:14,N,11524.0,1.26,2.0
3943,"Saturday, Jun 5",SFG,Home,CHC,W,4.0,3.0,9.0,37-21,1.0,up 2.0,Gausman,Stewart,Rogers,3:04,D,12792.0,1.31,3.0
3944,"Sunday, Jun 6",SFG,Home,CHC,L,3.0,4.0,9.0,37-22,1.0,up 2.0,Hendricks,Cueto,Kimbrel,3:01,D,14089.0,1.23,-1.0
3945,"Tuesday, Jun 8",SFG,@,TEX,W,9.0,4.0,9.0,38-22,1.0,up 2.5,Alvarez,Rodriguez,None,3:28,N,24938.0,1.18,1.0
3946,"Wednesday, Jun 9",SFG,@,TEX,L-wo,3.0,4.0,11.0,38-23,1.0,up 2.0,Martin,McGee,None,3:28,D,25803.0,1.19,-1.0
3947,"Friday, Jun 11",SFG,@,WSN,W,1.0,0.0,9.0,39-23,1.0,up 1.5,DeSclafani,Espino,None,2:30,N,18029.0,1.28,1.0
3948,"Saturday, Jun 12 (1)",SFG,@,WSN,L,0.0,2.0,7.0,39-24,1.0,up 2.0,Fedde,Gausman,Hand,2:10,D,16425.0,1.24,-1.0
3949,"Saturday, Jun 12 (2)",SFG,@,WSN,W,2.0,1.0,8.0,40-24,1.0,up 2.0,McGee,Finnegan,Baragar,3:05,N,24066.0,1.24,1.0
3950,"Sunday, Jun 13",SFG,@,WSN,L,0.0,5.0,9.0,40-25,1.0,up 1.0,Ross,Cueto,None,2:49,D,21569.0,1.22,-1.0
3951,"Monday, Jun 14",SFG,Home,ARI,W,5.0,2.0,9.0,41-25,1.0,up 1.0,Wood,Peacock,McGee,2:59,N,9906.0,1.25,1.0
3952,"Tuesday, Jun 15",SFG,Home,ARI,W,9.0,8.0,9.0,42-25,1.0,up 1.0,Sherfy,Castellanos,Rogers,3:03,N,9867.0,1.24,2.0
3953,"Wednesday, Jun 16",SFG,Home,ARI,W,13.0,7.0,9.0,43-25,1.0,up 2.0,DeSclafani,Kelly,None,3:36,N,11004.0,1.18,3.0
3954,"Thursday, Jun 17",SFG,Home,ARI,W,10.0,3.0,9.0,44-25,1.0,up 2.5,Gausman,Gallen,None,2:54,D,13144.0,1.15,4.0
3955,"Friday, Jun 18",SFG,Home,PHI,W,5.0,3.0,9.0,45-25,1.0,up 2.5,Cueto,Velasquez,McGee,3:02,N,16170.0,1.16,5.0
3956,"Saturday, Jun 19",SFG,Home,PHI,L,6.0,13.0,9.0,45-26,1.0,up 1.5,Suarez,Garcia,None,3:47,D,16774.0,1.09,-1.0
3957,"Sunday, Jun 20",SFG,Home,PHI,W,11.0,2.0,9.0,46-26,1.0,up 1.5,Long,Eflin,None,2:51,D,18265.0,1.17,1.0
3958,"Tuesday, Jun 22",SFG,@,LAA,W,5.0,0.0,9.0,47-26,1.0,up 3.0,DeSclafani,Heaney,None,2:53,N,28354.0,1.09,2.0
3959,"Wednesday, Jun 23",SFG,@,LAA,W,9.0,3.0,13.0,48-26,1.0,up 4.0,Leone,Claudio,None,4:51,D,20620.0,1.03,3.0
3960,"Friday, Jun 25",SFG,Home,OAK,W,2.0,0.0,9.0,49-26,1.0,up 4.5,Cueto,Manaea,McGee,2:23,N,36928.0,1.02,4.0
3961,"Saturday, Jun 26",SFG,Home,OAK,W-wo,6.0,5.0,10.0,50-26,1.0,up 4.5,McGee,Smith,None,4:05,N,33168.0,.96,5.0
3962,"Sunday, Jun 27",SFG,Home,OAK,L,2.0,6.0,9.0,50-27,1.0,up 3.5,Irvin,Long,None,2:57,D,35920.0,.91,-1.0
3963,"Monday, Jun 28",SFG,@,LAD,L,2.0,3.0,9.0,50-28,1.0,up 2.5,Bauer,DeSclafani,Jansen,3:10,N,47835.0,1.39,-2.0
3964,"Tuesday, Jun 29",SFG,@,LAD,L,1.0,3.0,9.0,50-29,1.0,up 1.5,Buehler,Gausman,Jansen,3:00,N,52342.0,1.49,-3.0
3965,"Thursday, Jul 1",SFG,@,ARI,L,3.0,5.0,9.0,50-30,1.0,up 0.5,Kelly,Cueto,Soria,2:37,N,9172.0,1.09,-4.0
3966,"Friday, Jul 2",SFG,@,ARI,W,11.0,4.0,9.0,51-30,1.0,up 0.5,Wood,Gallen,None,3:40,N,12262.0,1.17,1.0
3967,"Saturday, Jul 3",SFG,@,ARI,W,6.0,5.0,9.0,52-30,1.0,up 0.5,Leone,Buchter,McGee,3:47,N,23689.0,1.12,2.0
3968,"Sunday, Jul 4",SFG,@,ARI,W,5.0,2.0,9.0,53-30,1.0,up 0.5,DeSclafani,Smith,Rogers,2:43,N,27032.0,1.05,3.0
3969,"Monday, Jul 5",SFG,Home,STL,L,3.0,5.0,9.0,53-31,1.0,up 0.5,Kim,Gausman,None,3:04,D,32644.0,1.06,-1.0
3970,"Tuesday, Jul 6",SFG,Home,STL,L,5.0,6.0,9.0,53-32,1.0,up 0.5,Wainwright,Cueto,Miller,3:28,N,18785.0,1.04,-2.0
