"Season","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch"
"2005","STL","8.05","-101.54","109.59","89.33","9.44","0.96","1.23","265","6.94","1.49"
"2013","OAK","7.94","-101.10","109.04","103.80","11.05","0.94","1.47","163","9.86","-1.45"
"2003","SFG","7.91","-102.36","110.27","37.57","4.51","0.97","1.10","193","2.85","5.29"
"2002","SEA","7.87","-112.13","120.00","86.55","8.49","1.06","2.03","84","6.04","1.41"
"2009","MIL","7.78","-105.19","112.98","70.37","7.33","0.99","1.07","258","6.10","1.79"
"2002","STL","7.42","-100.86","108.28","81.88","8.25","0.94","1.09","296","6.27","1.59"
"2013","BAL","7.39","-106.59","113.97","36.83","4.13","1.00","1.33","88","2.34","5.07"
"2018","MIL","7.38","-106.41","113.80","46.21","4.86","1.00","1.21","285","6.08","1.30"
"2018","STL","7.37","-104.48","111.85","72.91","7.61","0.98","1.29","248","4.65","2.85"
"2003","TOR","7.35","-103.05","110.40","93.01","8.62","0.92","1.51","125","6.86","1.13"
"2019","OAK","7.35","-104.59","111.93","75.62","7.26","0.94","1.46","116","6.43","1.42"
"2000","OAK","7.32","-105.78","113.10","109.87","9.84","0.94","1.51","141","4.88","2.88"
"2008","NYM","7.22","-106.29","113.52","64.14","6.61","0.99","1.18","267","8.11","-0.79"
"2008","LAA","7.09","-108.82","115.91","26.13","2.44","1.02","2.01","74","-0.44","7.35"
"2000","STL","7.08","-106.17","113.24","76.05","6.81","0.94","1.24","233","8.54","-1.04"
"2016","STL","7.07","-105.87","112.94","75.79","8.00","0.98","1.19","274","8.95","-1.73"
"2020","LAD","7.06","-37.50","44.56","74.90","7.47","0.93","0.92","41","7.45","0.11"
"2010","MIN","6.96","-104.59","111.54","64.39","6.54","0.98","1.58","85","6.04","1.08"
"2009","FLA","6.95","-109.78","116.72","40.64","4.18","1.03","1.40","278","5.22","1.54"
"2013","CLE","6.93","-100.41","107.34","64.89","6.72","0.97","1.52","78","3.02","4.12"
"2014","PIT","6.81","-109.88","116.69","59.65","7.18","1.05","1.35","319","8.01","-1.53"
"2011","DET","6.81","-104.77","111.58","67.97","6.49","0.97","1.54","85","6.51","0.50"
"2013","TBR","6.74","-105.83","112.57","23.65","2.74","0.98","1.30","189","5.33","1.53"
"2007","SEA","6.70","-104.14","110.84","46.15","4.70","0.96","1.31","93","3.08","3.88"
"2008","FLA","6.67","-108.92","115.59","31.32","2.97","1.01","1.27","248","3.67","2.94"
"2002","SFG","6.66","-106.06","112.71","96.50","10.35","1.00","1.33","201","14.12","-7.47"
"2014","SFG","6.65","-101.40","108.05","49.23","5.91","1.00","1.45","233","3.18","3.45"
"2014","DET","6.60","-100.37","106.97","85.16","8.83","0.93","1.60","78","10.11","-3.03"
"2021","HOU","6.58","-87.51","94.10","134.22","14.32","0.94","1.40","76","8.59","-1.58"
"2011","NYM","6.57","-111.18","117.75","62.75","6.80","1.07","1.36","308","4.05","2.10"
"2013","ATL","6.50","-102.62","109.11","55.90","6.27","0.98","1.18","213","6.53","0.07"
"2004","ATL","6.50","-106.04","112.54","57.44","5.76","0.98","1.29","242","5.15","1.46"
"2010","PHI","6.32","-103.38","109.70","67.39","6.80","0.97","1.10","270","3.68","2.85"
"2012","MIL","6.28","-108.78","115.07","68.26","6.92","1.00","1.24","315","6.49","-0.21"
"2002","ANA","6.18","-108.96","115.14","84.88","8.50","1.00","1.45","131","1.97","4.22"
"2010","CIN","6.17","-108.52","114.69","80.77","8.32","1.00","1.27","256","10.81","-4.66"
"2008","CHC","6.17","-111.28","117.45","86.92","8.50","1.01","1.38","271","5.14","0.97"
